Team,Age,G,MP,WEIGHT,YEAR
New Orleans Pelicans,25,41,37,1517,2019
New Orleans Pelicans,28,51,36.8,1876.8,2019
New Orleans Pelicans,24,47,29.6,1391.2,2019
New Orleans Pelicans,29,44,29.4,1293.6,2019
New Orleans Pelicans,27,32,28.9,924.8,2019
New Orleans Pelicans,24,19,26.9,511.1,2019
New Orleans Pelicans,28,46,24.6,1131.6,2019
New Orleans Pelicans,27,32,21.2,678.4,2019
New Orleans Pelicans,28,39,18.7,729.3,2019
New Orleans Pelicans,31,25,15,375,2019
New Orleans Pelicans,20,36,13.7,493.2,2019
New Orleans Pelicans,27,34,12.9,438.6,2019
New Orleans Pelicans,23,32,12.7,406.4,2019
New Orleans Pelicans,22,33,9.7,320.1,2019
New Orleans Pelicans,24,15,8,120,2019
New Orleans Pelicans,24,6,6.3,37.8,2019
Dallas Mavericks,26,45,32.3,1453.5,2019
Dallas Mavericks,19,48,32.1,1540.8,2019
Dallas Mavericks,30,49,31.2,1528.8,2019
Dallas Mavericks,32,43,29.9,1285.7,2019
Dallas Mavericks,21,31,28.4,880.4,2019
Dallas Mavericks,25,49,24.4,1195.6,2019
Dallas Mavericks,34,38,19.8,752.4,2019
Dallas Mavericks,27,44,18.8,827.2,2019
Dallas Mavericks,22,41,16.7,684.7,2019
Dallas Mavericks,27,45,16.2,729,2019
Dallas Mavericks,35,37,14.8,547.6,2019
Dallas Mavericks,40,18,10,180,2019
Dallas Mavericks,32,14,6.1,85.4,2019
Dallas Mavericks,28,19,5.9,112.1,2019
Dallas Mavericks,23,2,2,4,2019
Dallas Mavericks,21,1,1,1,2019
Memphis Grizzlies,34,50,33.7,1685,2019
Memphis Grizzlies,31,50,33.6,1680,2019
Memphis Grizzlies,32,49,31.2,1528.8,2019
Memphis Grizzlies,25,42,29.7,1247.4,2019
Memphis Grizzlies,29,13,26.5,344.5,2019
Memphis Grizzlies,19,51,25.8,1315.8,2019
Memphis Grizzlies,28,38,22.8,866.4,2019
Memphis Grizzlies,28,49,22.7,1112.3,2019
Memphis Grizzlies,23,3,20,60,2019
Memphis Grizzlies,23,18,18.3,329.4,2019
Memphis Grizzlies,30,3,15.3,45.9,2019
Memphis Grizzlies,23,17,15,255,2019
Memphis Grizzlies,30,36,14.4,518.4,2019
Memphis Grizzlies,24,32,14.2,454.4,2019
Memphis Grizzlies,30,29,13.3,385.7,2019
Memphis Grizzlies,33,23,13,299,2019
Memphis Grizzlies,28,1,7,7,2019
Memphis Grizzlies,21,21,6.8,142.8,2019
Memphis Grizzlies,24,8,6.5,52,2019
Memphis Grizzlies,24,1,5,5,2019
Memphis Grizzlies,27,1,1,1,2019
Phoenix Suns,22,40,34.6,1384,2019
Phoenix Suns,33,26,34,884,2019
Phoenix Suns,25,43,31.6,1358.8,2019
Phoenix Suns,20,47,30.8,1447.6,2019
Phoenix Suns,23,22,27.3,600.6,2019
Phoenix Suns,22,53,27,1431,2019
Phoenix Suns,27,19,26.5,503.5,2019
Phoenix Suns,21,53,23.3,1234.9,2019
Phoenix Suns,20,33,20.5,676.5,2019
Phoenix Suns,30,15,18.5,277.5,2019
Phoenix Suns,21,35,18.2,637,2019
