Team,Age,G,MP,WEIGHT,YEAR
Orlando Magic,26,50,31.2,1560,2019
Orlando Magic,31,50,28.1,1405,2019
Orlando Magic,27,51,26.5,1351.5,2019
Orlando Magic,21,45,25.5,1147.5,2019
Orlando Magic,29,41,20.6,844.6,2019
Orlando Magic,26,44,17.6,774.4,2019
Orlando Magic,24,37,16.7,617.9,2019
Orlando Magic,20,46,16.4,754.4,2019
Orlando Magic,22,26,10.6,275.6,2019
Orlando Magic,26,20,8.9,178,2019
Orlando Magic,24,28,8.4,235.2,2019
Orlando Magic,22,3,5.3,15.9,2019
Orlando Magic,23,2,4.5,9,2019
Orlando Magic,25,1,4,4,2019
Atlanta Hawks,21,33,30,990,2019
Atlanta Hawks,20,49,29.9,1465.1,2019
Atlanta Hawks,24,28,27.5,770,2019
Atlanta Hawks,29,35,27.4,959,2019
Atlanta Hawks,20,45,27,1215,2019
