Team,Age,MP,G,WEIGHT
Washington Wizards,23,26,29,754
Washington Wizards,29,26,34,884
Washington Wizards,33,25.6,9,230.4
Washington Wizards,27,23.9,50,1195
Washington Wizards,26,23.6,29,684.4
Washington Wizards,21,19.1,40,764
Washington Wizards,24,16.4,22,360.8
Washington Wizards,25,15,20,300
Washington Wizards,32,14.4,29,417.6
Washington Wizards,25,11.3,4,45.2
Washington Wizards,32,10.8,12,129.6
Washington Wizards,23,8,4,32
Washington Wizards,19,7.4,27,199.8
Washington Wizards,26,6.5,2,13
Washington Wizards,27,4.5,11,49.5
Washington Wizards,26,2,3,6
Orlando Magic,23,33.7,47,1583.9
Orlando Magic,28,31.3,50,1565
Orlando Magic,26,31.2,50,1560
Orlando Magic,31,28.1,50,1405
Orlando Magic,27,26.5,51,1351.5
Orlando Magic,21,25.5,45,1147.5
Orlando Magic,29,20.6,41,844.6
Orlando Magic,26,17.6,44,774.4
Orlando Magic,24,16.7,37,617.9
Orlando Magic,20,16.4,46,754.4
Orlando Magic,22,10.6,26,275.6
Orlando Magic,26,8.9,20,178
Orlando Magic,24,8.4,28,235.2
Orlando Magic,22,5.3,3,15.9
Orlando Magic,23,4.5,2,9
Orlando Magic,25,4,1,4
Atlanta Hawks,21,30,33,990
Atlanta Hawks,20,29.9,49,1465.1
Atlanta Hawks,24,27.5,28,770
Atlanta Hawks,29,27.4,35,959
Atlanta Hawks,20,27,45,1215
Atlanta Hawks,24,25.3,49,1239.7
Atlanta Hawks,29,24.7,39,963.3
Atlanta Hawks,25,20,45,900
Atlanta Hawks,30,20,44,880
Atlanta Hawks,21,16.9,32,540.8
Atlanta Hawks,42,16.4,45,738
Atlanta Hawks,25,13.5,18,243
Atlanta Hawks,23,11.6,17,197.2
Atlanta Hawks,30,9.6,18,172.8
Atlanta Hawks,22,9.6,26,249.6
Atlanta Hawks,25,8.9,25,222.5
Atlanta Hawks,22,4.8,9,43.2
Chicago Bulls,29,34.9,38,1326.2
Chicago Bulls,23,33.9,45,1525.5
Chicago Bulls,21,31.4,28,879.2
Chicago Bulls,24,30.8,25,770
Chicago Bulls,23,27.1,38,1029.8
Chicago Bulls,19,25.2,44,1108.8
Chicago Bulls,24,25.1,50,1255
Chicago Bulls,23,23.6,20,472
Chicago Bulls,22,20.3,44,893.2
Chicago Bulls,24,19,12,228
Chicago Bulls,25,17.3,42,726.6
Chicago Bulls,24,17.3,31,536.3
Chicago Bulls,30,16.7,43,718.1
Chicago Bulls,22,14.7,39,573.3
Chicago Bulls,26,9.5,31,294.5
Chicago Bulls,21,2,2,4
Chicago Bulls,23,1,1,1
New York Knicks,26,32.7,45,1471.5
New York Knicks,19,27.3,42,1146.6
New York Knicks,23,26.8,49,1313.2
New York Knicks,22,26.6,39,1037.4
New York Knicks,26,26.3,42,1104.6
New York Knicks,24,24.9,40,996
New York Knicks,23,22.2,42,932.4
New York Knicks,20,21.3,41,873.3
New York Knicks,26,20.5,32,656
New York Knicks,23,18.5,41,758.5
New York Knicks,26,18,1,18
New York Knicks,20,16.9,34,574.6
New York Knicks,30,16.2,22,356.4
New York Knicks,23,15.2,23,349.6
New York Knicks,33,13.3,12,159.6
New York Knicks,25,9.7,11,106.7
Cleveland Cavaliers,30,34,4,136
Cleveland Cavaliers,23,31.9,50,1595
Cleveland Cavaliers,27,29.8,35,1043
Cleveland Cavaliers,20,29.7,52,1544.4
Cleveland Cavaliers,27,28.4,32,908.8
Cleveland Cavaliers,26,27.4,44,1205.6
Cleveland Cavaliers,32,26.5,13,344.5
Cleveland Cavaliers,26,26.4,51,1346.4
Cleveland Cavaliers,26,25.3,42,1062.6
Cleveland Cavaliers,33,20.2,11,222.2
Cleveland Cavaliers,24,19.6,9,176.4
Cleveland Cavaliers,28,19,23,437
Cleveland Cavaliers,24,18.8,9,169.2
Cleveland Cavaliers,23,17.7,3,53.1
